subject,condition,amplitude_sum,integral_sum,duration_sum
Segundo,baseline-light-period-nrem,1.0,1.0,1.0
Segundo,recovery-first2h-match,0.2595172128694974,0.2579777999708418,0.25681409322818477
Segundo,recovery-first2h,0.39460908969620406,0.39791438485256536,0.37992578278250316
Segundo,recovery-first1h,0.21386387327059314,0.21235992251436697,0.20038410403873577
Segundo,recovery-last1h,0.15061476886046776,0.14704084729682929,0.14305626346665395
Segundo,recovery-full,0.586339098807047,0.5866432410220859,0.5637419371366704
Segundo,deprivation,0.47179008687682084,0.3992735708533278,0.37634301616699034
Valentino,baseline-light-period-nrem,1.0,1.0,1.0
Valentino,recovery-first2h-match,0.3170635681667365,0.3145137418563041,0.31006526939290885
Valentino,recovery-first2h,0.47819604846588826,0.5008967610411059,0.4776437824447962
Valentino,recovery-first1h,0.24844990870154307,0.26159680881587966,0.2427045276682956
Valentino,recovery-last1h,0.19088918593713583,0.19464821693429046,0.19295549395380043
Valentino,recovery-full,0.778667434326339,0.806422076379,0.7811953993869165
Valentino,deprivation,0.6649070439251817,0.6551028947788211,0.571444895262002
Doppio,baseline-light-period-nrem,1.0,1.0,1.0
Doppio,recovery-first2h-match,0.3356413812379962,0.33262041932094955,0.3321264651633283
Doppio,recovery-first2h,0.4328606218956965,0.4582064178739066,0.41687610211827913
Doppio,recovery-first1h,0.2191013630030787,0.2347695408169523,0.20750770589896844
Doppio,recovery-last1h,0.17395940723195283,0.1789535609527476,0.16973557656109595
Doppio,recovery-full,0.6874187000845094,0.7201614852861485,0.6674071073814286
Doppio,deprivation,0.579039306495526,0.602217527614281,0.5063656922529094
Alessandro,baseline-light-period-nrem,1.0,1.0,1.0
Alessandro,recovery-first2h-match,0.27252124464898714,0.2800287406346415,0.2819583000285715
Alessandro,recovery-first2h,0.4167386072902445,0.41769584355939515,0.40722752929621386
Alessandro,recovery-first1h,0.22542702527910283,0.2202756597793774,0.2113404031915039
Alessandro,recovery-last1h,0.14235861766761013,0.14166487590600077,0.14407551775649316
Alessandro,recovery-full,0.8132229375730743,0.8162844409745748,0.8072406799721396
Alessandro,deprivation,0.5586178230194149,0.49351134224258597,0.4351164143038347
Allan,baseline-light-period-nrem,1.0,1.0,1.0
Allan,recovery-first2h-match,0.3911754144243509,0.38826140437901874,0.3915534363775768
Allan,recovery-first2h,0.5200160561454716,0.5389782375574416,0.532570634481737
Allan,recovery-first1h,0.2853466507096736,0.29428586012899033,0.28751716457209897
Allan,recovery-last1h,0.15102026799279722,0.15706169438149462,0.15909318287512503
Allan,recovery-full,0.7544223251724975,0.7848154363460753,0.7804534415448174
Allan,deprivation,0.6410232755464016,0.6117407901217836,0.5355802752268373
