subject,condition,amplitude,integral,duration
Segundo,baseline-light-period-nrem,1.0,1.0,1.0
Segundo,recovery-first2h-match,1.005578827739473,0.9996139015562685,0.9951047638032291
Segundo,recovery-first2h,1.05767739763766,1.0665366359843937,1.018321482503638
Segundo,recovery-first1h,1.0697480586571875,1.0622252901915046,1.002322192163686
Segundo,recovery-last1h,1.0382329526110157,1.013596835147305,0.9861298990279022
Segundo,recovery-full,1.051670029603332,1.0522155454199371,1.0111392894033522
Segundo,deprivation,1.050451205032559,0.8889915564292882,0.8379361623624368
Valentino,baseline-light-period-nrem,1.0,1.0,1.0
Valentino,recovery-first2h-match,1.0147989043268715,1.006637888032853,0.9924000334351648
Valentino,recovery-first2h,1.0684012690190468,1.1191199443422986,1.0671673781919229
Valentino,recovery-first1h,1.1023433325919496,1.160674598483872,1.0768517455420723
Valentino,recovery-last1h,1.0207731151321375,1.0408743993510816,1.0318226235714911
Valentino,recovery-full,1.048032943867429,1.085388787882672,1.0514354114005984
Valentino,deprivation,1.1645795966594974,1.147407704493871,1.0008813588568957
Doppio,baseline-light-period-nrem,1.0,1.0,1.0
Doppio,recovery-first2h-match,1.0008032160997562,0.9917954221527067,0.9903225676800884
Doppio,recovery-first2h,1.0930058053280916,1.1570058569463688,1.0526436840623956
Doppio,recovery-first1h,1.1249425759886134,1.2053884484806916,1.0654167094715579
Doppio,recovery-last1h,1.0538564548123626,1.08411133564193,1.028268236920926
Doppio,recovery-full,1.0748753409583258,1.1260732679323906,1.043584415170015
Doppio,deprivation,1.164392468748451,1.2110016467557352,1.0182528057729374
Alessandro,baseline-light-period-nrem,1.0,1.0,1.0
Alessandro,recovery-first2h-match,0.9927744486927949,1.0201236933281028,1.027152933437418
Alessandro,recovery-first2h,1.017250587060374,1.0195871816060162,0.9940342363221626
Alessandro,recovery-first1h,1.0282260035322714,1.00472940655612,0.9639735869709997
Alessandro,recovery-last1h,0.9716862230835445,0.9669510035149876,0.9834051354340004
Alessandro,recovery-full,1.0030621184984905,1.0068383008290984,0.9956833596055089
Alessandro,deprivation,1.085403555326064,0.9589005996416747,0.8454383007570022
Allan,baseline-light-period-nrem,1.0,1.0,1.0
Allan,recovery-first2h-match,0.9836660747762284,0.97633838311297,0.9846166646067723
Allan,recovery-first2h,1.0072982864735207,1.044029023185109,1.0316171610468527
Allan,recovery-first1h,1.017528222185531,1.0494048811389798,1.025268138200564
Allan,recovery-last1h,0.9797430249721572,1.0189367401196636,1.0321160087595536
Allan,recovery-full,0.9992655894337951,1.0395226034937195,1.0337449493062107
Allan,deprivation,1.1435660877202674,1.091327021569027,0.9554589721866754
