subject,condition,amplitude,integral,duration
Segundo,baseline-light-period-nrem,1.0,1.0,1.0
Segundo,recovery-first2h-match,1.0049333453376903,1.0095717536355218,1.0066666666649993
Segundo,recovery-first2h,1.0525211438245352,1.076271408901626,1.0133333333337882
Segundo,recovery-first1h,1.0591375375929628,1.0878951539902044,0.9933333333425799
Segundo,recovery-last1h,1.0339819744686338,1.04298865162524,1.0133333333337882
Segundo,recovery-full,1.0475675145880232,1.0701723237194174,1.0133333333375776
Segundo,deprivation,1.0452126963271906,0.8840181064268898,0.8333333333371229
Valentino,baseline-light-period-nrem,1.0,1.0,1.0
Valentino,recovery-first2h-match,1.0151972545677996,1.0076554454098947,0.992907801436281
Valentino,recovery-first2h,1.0370097172204393,1.1262053780763288,1.0851063829903889
Valentino,recovery-first1h,1.0657875872236175,1.1690821928374497,1.1063829787339547
Valentino,recovery-last1h,1.0122054459146148,1.0798624585693732,1.0638297872427918
Valentino,recovery-full,1.0220160606613424,1.10569625166487,1.0780141844065128
Valentino,deprivation,1.1526549898042666,1.152463229619313,1.0354609929153498
Doppio,baseline-light-period-nrem,1.0,1.0,1.0
Doppio,recovery-first2h-match,1.0081403741700163,0.9973722852387082,0.9929577464763925
Doppio,recovery-first2h,1.0357407990774754,1.0766593880719895,1.0492957746442366
Doppio,recovery-first1h,1.0590247385846026,1.0892224641964863,1.0563380281648418
Doppio,recovery-last1h,1.0200961877536578,1.0324906213070357,1.0211267605708225
Doppio,recovery-full,1.0274789426217044,1.0559657647360954,1.04225352112163
Doppio,deprivation,1.1371763749058639,1.0756100616846904,0.9788732394291774
Alessandro,baseline-light-period-nrem,1.0,1.0,1.0
Alessandro,recovery-first2h-match,0.994836090979892,1.0186648695727085,1.0289855072410041
Alessandro,recovery-first2h,1.007049555245265,1.0192623124987514,1.0072463768081914
Alessandro,recovery-first1h,1.020007112997273,1.012174049720724,0.985507246373448
Alessandro,recovery-last1h,0.9719358022912893,0.964023271815989,0.9927536231835703
Alessandro,recovery-full,0.9964131712327716,1.0079353729792135,1.0072463768081914
Alessandro,deprivation,1.0836784118060943,0.9080856616988796,0.8333333333312738
Allan,baseline-light-period-nrem,1.0,1.0,1.0
Allan,recovery-first2h-match,0.9828642968315447,0.9742360145109827,0.9843749999993061
Allan,recovery-first2h,1.0020302235922331,1.026555257475244,1.031249999992506
Allan,recovery-first1h,1.0079759351456687,1.0196663641414316,1.0156249999984734
Allan,recovery-last1h,0.9821041598308476,1.0031718429044327,1.0312499999969469
Allan,recovery-full,0.9944451201990537,1.022712524956894,1.0312499999969469
Allan,deprivation,1.1319937470857655,1.0282417850470844,0.9374999999972244
