property,value,state,condition,subject
rate,1.0046511627906978,NREM,early-deprivation,Segundo
duration,0.0596782481751729,wake,early-deprivation,Segundo
sink_amplitude,0.06834574573097853,wake,early-deprivation,Segundo
sink_integral,2.654977247674993,wake,early-deprivation,Segundo
count,685.0,wake,early-deprivation,Segundo
rate,0.19045252855347453,wake,early-deprivation,Segundo
duration,0.0596782481751729,all-SPW-states,early-deprivation,Segundo
sink_amplitude,0.06834574573097853,all-SPW-states,early-deprivation,Segundo
sink_integral,2.654977247674993,all-SPW-states,early-deprivation,Segundo
count,685.0,all-SPW-states,early-deprivation,Segundo
rate,0.19045252855347453,all-SPW-states,early-deprivation,Segundo
duration,0.06578472222224298,NREM,late-deprivation,Segundo
sink_amplitude,0.08072644946989606,NREM,late-deprivation,Segundo
sink_integral,3.421261754729802,NREM,late-deprivation,Segundo
count,864.0,NREM,late-deprivation,Segundo
rate,1.0046511627906978,NREM,late-deprivation,Segundo
duration,0.0548179799048116,wake,late-deprivation,Segundo
sink_amplitude,0.07936352899706675,wake,late-deprivation,Segundo
sink_integral,2.8552214595145653,wake,late-deprivation,Segundo
count,1891.0,wake,late-deprivation,Segundo
rate,0.5405265985165041,wake,late-deprivation,Segundo
duration,0.05902914476828487,all-SPW-states,late-deprivation,Segundo
sink_amplitude,0.0803095412576937,all-SPW-states,late-deprivation,Segundo
sink_integral,3.0851568507329694,all-SPW-states,late-deprivation,Segundo
count,2093.0,all-SPW-states,late-deprivation,Segundo
rate,0.6350631886877139,all-SPW-states,late-deprivation,Segundo
duration,0.0703566015157567,NREM,recovery,Valentino
sink_amplitude,0.04141800043973,NREM,recovery,Valentino
sink_integral,1.8810904488178755,NREM,recovery,Valentino
count,10028.0,NREM,recovery,Valentino
rate,0.771268320025948,NREM,recovery,Valentino
duration,0.07331941391941843,wake,recovery,Valentino
sink_amplitude,0.04411761908825051,wake,recovery,Valentino
sink_integral,2.1234073810563414,wake,recovery,Valentino
count,1638.0,wake,recovery,Valentino
rate,0.3226950046621196,wake,recovery,Valentino
duration,0.07077260414880981,all-SPW-states,recovery,Valentino
sink_amplitude,0.04179704855787477,all-SPW-states,recovery,Valentino
sink_integral,1.9151136902893775,all-SPW-states,recovery,Valentino
count,11666.0,all-SPW-states,recovery,Valentino
rate,0.6453161506452756,all-SPW-states,recovery,Valentino
duration,0.07205733070348776,NREM,early-recovery,Valentino
sink_amplitude,0.043564333450764284,NREM,early-recovery,Valentino
sink_integral,2.0115685050079466,NREM,early-recovery,Valentino
count,3042.0,NREM,early-recovery,Valentino
rate,0.8492485455621981,NREM,early-recovery,Valentino
duration,0.07430000000000439,wake,early-recovery,Valentino
sink_amplitude,0.04453424637850652,wake,early-recovery,Valentino
sink_integral,2.1786860034759066,wake,early-recovery,Valentino
count,1200.0,wake,early-recovery,Valentino
rate,0.3629763533423881,wake,early-recovery,Valentino
duration,0.07272858171346515,all-SPW-states,early-recovery,Valentino
sink_amplitude,0.04417237908377039,all-SPW-states,early-recovery,Valentino
sink_integral,2.062352784161089,all-SPW-states,early-recovery,Valentino
count,2778.0,all-SPW-states,early-recovery,Valentino
rate,0.7742495989498367,all-SPW-states,early-recovery,Valentino
duration,0.0684923821039901,NREM,late-recovery,Valentino
sink_amplitude,0.040067122601014284,NREM,late-recovery,Valentino
sink_integral,1.778814045189283,NREM,late-recovery,Valentino
count,2481.0,NREM,late-recovery,Valentino
