property,value,state,condition,subject
rate,1.0046511627906978,NREM,early-deprivation,Segundo
duration,0.0524000000000342,wake,early-deprivation,Segundo
sink_amplitude,0.06468407181955062,wake,early-deprivation,Segundo
sink_integral,2.2860217071630506,wake,early-deprivation,Segundo
count,685.0,wake,early-deprivation,Segundo
rate,0.19045252855347453,wake,early-deprivation,Segundo
duration,0.0524000000000342,all-SPW-states,early-deprivation,Segundo
sink_amplitude,0.06468407181955062,all-SPW-states,early-deprivation,Segundo
sink_integral,2.2860217071630506,all-SPW-states,early-deprivation,Segundo
count,685.0,all-SPW-states,early-deprivation,Segundo
rate,0.19045252855347453,all-SPW-states,early-deprivation,Segundo
duration,0.0591999999996915,NREM,late-deprivation,Segundo
sink_amplitude,0.07399837018092287,NREM,late-deprivation,Segundo
sink_integral,2.8466745907921913,NREM,late-deprivation,Segundo
count,864.0,NREM,late-deprivation,Segundo
rate,1.0046511627906978,NREM,late-deprivation,Segundo
duration,0.04839999999967404,wake,late-deprivation,Segundo
sink_amplitude,0.07396020774603786,wake,late-deprivation,Segundo
sink_integral,2.391030900432727,wake,late-deprivation,Segundo
count,1891.0,wake,late-deprivation,Segundo
rate,0.5405265985165041,wake,late-deprivation,Segundo
duration,0.05199999999967986,all-SPW-states,late-deprivation,Segundo
sink_amplitude,0.07473085916915453,all-SPW-states,late-deprivation,Segundo
sink_integral,2.596054665324664,all-SPW-states,late-deprivation,Segundo
count,2093.0,all-SPW-states,late-deprivation,Segundo
rate,0.6350631886877139,all-SPW-states,late-deprivation,Segundo
duration,0.06079999999997199,NREM,recovery,Valentino
sink_amplitude,0.037864367824594194,NREM,recovery,Valentino
sink_integral,1.550457274233295,NREM,recovery,Valentino
count,10028.0,NREM,recovery,Valentino
rate,0.771268320025948,NREM,recovery,Valentino
duration,0.06279999999969732,wake,recovery,Valentino
sink_amplitude,0.040320221222582955,wake,recovery,Valentino
sink_integral,1.6316400028340876,wake,recovery,Valentino
count,1638.0,wake,recovery,Valentino
rate,0.3226950046621196,wake,recovery,Valentino
duration,0.06119999999987158,all-SPW-states,recovery,Valentino
sink_amplitude,0.038203931400300296,all-SPW-states,recovery,Valentino
sink_integral,1.5612865309483235,all-SPW-states,recovery,Valentino
count,11666.0,all-SPW-states,recovery,Valentino
rate,0.6453161506452756,all-SPW-states,recovery,Valentino
duration,0.0624000000000251,NREM,early-recovery,Valentino
sink_amplitude,0.03948604604061508,NREM,early-recovery,Valentino
sink_integral,1.6393399067168293,NREM,early-recovery,Valentino
count,3042.0,NREM,early-recovery,Valentino
rate,0.8492485455621981,NREM,early-recovery,Valentino
duration,0.06399999999962347,wake,early-recovery,Valentino
sink_amplitude,0.040310177762603164,wake,early-recovery,Valentino
sink_integral,1.6685257939635139,wake,early-recovery,Valentino
count,1200.0,wake,early-recovery,Valentino
rate,0.3629763533423881,wake,early-recovery,Valentino
duration,0.06280000000015207,all-SPW-states,early-recovery,Valentino
sink_amplitude,0.03989784050190309,all-SPW-states,early-recovery,Valentino
sink_integral,1.6650831654500937,all-SPW-states,early-recovery,Valentino
count,2778.0,all-SPW-states,early-recovery,Valentino
rate,0.7742495989498367,all-SPW-states,early-recovery,Valentino
duration,0.05999999999994543,NREM,late-recovery,Valentino
sink_amplitude,0.03731858791848845,NREM,late-recovery,Valentino
sink_integral,1.5110113000779029,NREM,late-recovery,Valentino
count,2481.0,NREM,late-recovery,Valentino
rate,0.6914735028100727,NREM,late-recovery,Valentino
duration,0.06080000000019936,wake,late-recovery,Valentino
sink_amplitude,0.0392088929354536,wake,late-recovery,Valentino
sink_integral,1.5647360390482652,wake,late-recovery,Valentino
count,1122.0,wake,late-recovery,Valentino
rate,0.32020545714175785,wake,late-recovery,Valentino
duration,0.06039999999984502,all-SPW-states,late-recovery,Valentino
sink_amplitude,0.038025724035294466,all-SPW-states,late-recovery,Valentino
sink_integral,1.548431854431318,all-SPW-states,late-recovery,Valentino
count,1631.0,all-SPW-states,late-recovery,Valentino
rate,0.45381314183888793,all-SPW-states,late-recovery,Valentino
duration,0.06120000000009895,NREM,first2h-recovery,Valentino
sink_amplitude,0.038419863328864365,NREM,first2h-recovery,Valentino
sink_integral,1.57921609853512,NREM,first2h-recovery,Valentino
count,6041.0,NREM,first2h-recovery,Valentino
rate,0.8397310270110846,NREM,first2h-recovery,Valentino
duration,0.06279999999969732,wake,first2h-recovery,Valentino
sink_amplitude,0.040320221222582955,wake,first2h-recovery,Valentino
sink_integral,1.6316400028340876,wake,first2h-recovery,Valentino
count,1638.0,wake,first2h-recovery,Valentino
rate,0.3226950046621196,wake,first2h-recovery,Valentino
duration,0.061599999999998545,all-SPW-states,first2h-recovery,Valentino
sink_amplitude,0.03886069170896167,all-SPW-states,first2h-recovery,Valentino
sink_integral,1.596076005074618,all-SPW-states,first2h-recovery,Valentino
count,5508.0,all-SPW-states,first2h-recovery,Valentino
rate,0.7694908098606322,all-SPW-states,first2h-recovery,Valentino
duration,0.05639999999948486,NREM,baseline-light-period,Valentino
sink_amplitude,0.03704870136785553,NREM,baseline-light-period,Valentino
sink_integral,1.4022452114662947,NREM,baseline-light-period,Valentino
count,13497.0,NREM,baseline-light-period,Valentino
rate,0.5935883227273361,NREM,baseline-light-period,Valentino
duration,0.056599999999889405,wake,baseline-light-period,Valentino
sink_amplitude,0.03866019125256381,wake,baseline-light-period,Valentino
sink_integral,1.4338690915556664,wake,baseline-light-period,Valentino
count,3142.0,wake,baseline-light-period,Valentino
rate,0.20695601162953825,wake,baseline-light-period,Valentino
duration,0.05639999999993961,all-SPW-states,baseline-light-period,Valentino
sink_amplitude,0.037308437471868086,all-SPW-states,baseline-light-period,Valentino
sink_integral,1.4088195103345609,all-SPW-states,baseline-light-period,Valentino
count,16639.0,all-SPW-states,baseline-light-period,Valentino
rate,0.4387927589328675,all-SPW-states,baseline-light-period,Valentino
duration,0.056000000000494765,NREM,first2h-recovery-match,Valentino
sink_amplitude,0.03761173991394921,NREM,first2h-recovery-match,Valentino
sink_integral,1.412980023133961,NREM,first2h-recovery-match,Valentino
count,4217.0,NREM,first2h-recovery-match,Valentino
rate,0.5860208056242784,NREM,first2h-recovery-match,Valentino
duration,0.055999999999983174,wake,first2h-recovery-match,Valentino
sink_amplitude,0.03917354413846036,wake,first2h-recovery-match,Valentino
sink_integral,1.4427353340596378,wake,first2h-recovery-match,Valentino
count,1351.0,wake,first2h-recovery-match,Valentino
rate,0.18847681953005638,wake,first2h-recovery-match,Valentino
duration,0.05519999999978609,all-SPW-states,first2h-recovery-match,Valentino
sink_amplitude,0.03756770892239934,all-SPW-states,first2h-recovery-match,Valentino
sink_integral,1.39269740495627,all-SPW-states,first2h-recovery-match,Valentino
count,3121.0,all-SPW-states,first2h-recovery-match,Valentino
rate,0.43347281015746925,all-SPW-states,first2h-recovery-match,Valentino
duration,,NREM,deprivation,Valentino
sink_amplitude,,NREM,deprivation,Valentino
sink_integral,,NREM,deprivation,Valentino
count,0.0,NREM,deprivation,Valentino
rate,,NREM,deprivation,Valentino
duration,0.058399999999892316,wake,deprivation,Valentino
sink_amplitude,0.04270437049742683,wake,deprivation,Valentino
sink_integral,1.6160360451246625,wake,deprivation,Valentino
count,7706.0,wake,deprivation,Valentino
rate,0.35675925925944096,wake,deprivation,Valentino
duration,0.058399999999892316,all-SPW-states,deprivation,Valentino
sink_amplitude,0.04270437049742683,all-SPW-states,deprivation,Valentino
sink_integral,1.6160360451246625,all-SPW-states,deprivation,Valentino
count,7706.0,all-SPW-states,deprivation,Valentino
rate,0.35675925925944096,all-SPW-states,deprivation,Valentino
duration,,NREM,early-deprivation,Valentino
sink_amplitude,,NREM,early-deprivation,Valentino
sink_integral,,NREM,early-deprivation,Valentino
count,0.0,NREM,early-deprivation,Valentino
rate,,NREM,early-deprivation,Valentino
duration,0.05720000000019354,wake,early-deprivation,Valentino
sink_amplitude,0.04247708610684457,wake,early-deprivation,Valentino
sink_integral,1.5853214173963979,wake,early-deprivation,Valentino
count,808.0,wake,early-deprivation,Valentino
rate,0.2249615596453363,wake,early-deprivation,Valentino
duration,0.05720000000019354,all-SPW-states,early-deprivation,Valentino
sink_amplitude,0.04247708610684457,all-SPW-states,early-deprivation,Valentino
sink_integral,1.5853214173963979,all-SPW-states,early-deprivation,Valentino
count,808.0,all-SPW-states,early-deprivation,Valentino
rate,0.2249615596453363,all-SPW-states,early-deprivation,Valentino
duration,,NREM,late-deprivation,Valentino
sink_amplitude,,NREM,late-deprivation,Valentino
sink_integral,,NREM,late-deprivation,Valentino
