band,region,power,state,condition,subject
delta,mpta_wm_ref,575776.1785643346,NREM,first2h-recovery,Segundo
delta,sr_wm_ref,508625.61330154573,NREM,first2h-recovery,Segundo
theta,mpta_wm_ref,93250.71808079674,NREM,first2h-recovery,Segundo
theta,sr_wm_ref,368537.18511114625,NREM,first2h-recovery,Segundo
fast_gamma,mpta_wm_ref,1274.0410114938845,NREM,first2h-recovery,Segundo
fast_gamma,sr_wm_ref,6784.826993166867,NREM,first2h-recovery,Segundo
low_delta,mpta_wm_ref,17530.548413800632,wake,first2h-recovery,Segundo
low_delta,sr_wm_ref,82800.61245244897,wake,first2h-recovery,Segundo
delta,mpta_wm_ref,37543.66172646428,wake,first2h-recovery,Segundo
delta,sr_wm_ref,202673.02593135988,wake,first2h-recovery,Segundo
theta,mpta_wm_ref,16551.357727744322,wake,first2h-recovery,Segundo
theta,sr_wm_ref,255389.85726105818,wake,first2h-recovery,Segundo
fast_gamma,mpta_wm_ref,1532.0512023693655,wake,first2h-recovery,Segundo
fast_gamma,sr_wm_ref,5353.853230906767,wake,first2h-recovery,Segundo
low_delta,mpta_wm_ref,134703.0195607751,all-SPW-states,first2h-recovery,Segundo
low_delta,sr_wm_ref,181347.8988618289,all-SPW-states,first2h-recovery,Segundo
delta,mpta_wm_ref,505001.5814844878,all-SPW-states,first2h-recovery,Segundo
delta,sr_wm_ref,467001.6201145784,all-SPW-states,first2h-recovery,Segundo
theta,mpta_wm_ref,83243.87570777697,all-SPW-states,first2h-recovery,Segundo
theta,sr_wm_ref,358702.37055316276,all-SPW-states,first2h-recovery,Segundo
fast_gamma,mpta_wm_ref,1360.361763519291,all-SPW-states,first2h-recovery,Segundo
fast_gamma,sr_wm_ref,6532.491445215703,all-SPW-states,first2h-recovery,Segundo
low_delta,mpta_wm_ref,88483.50942190397,NREM,baseline-light-period,Segundo
low_delta,sr_wm_ref,158317.87500661728,NREM,baseline-light-period,Segundo
delta,mpta_wm_ref,248743.67011920628,NREM,baseline-light-period,Segundo
delta,sr_wm_ref,386944.09754635725,NREM,baseline-light-period,Segundo
theta,mpta_wm_ref,71434.08928614827,NREM,baseline-light-period,Segundo
theta,sr_wm_ref,312591.53521098883,NREM,baseline-light-period,Segundo
fast_gamma,mpta_wm_ref,1161.0954778904852,NREM,baseline-light-period,Segundo
fast_gamma,sr_wm_ref,6104.508594583952,NREM,baseline-light-period,Segundo
low_delta,mpta_wm_ref,13868.57296065803,wake,baseline-light-period,Segundo
low_delta,sr_wm_ref,65990.60321804223,wake,baseline-light-period,Segundo
delta,mpta_wm_ref,25724.628195297664,wake,baseline-light-period,Segundo
delta,sr_wm_ref,157797.26715098455,wake,baseline-light-period,Segundo
theta,mpta_wm_ref,13081.923987333512,wake,baseline-light-period,Segundo
theta,sr_wm_ref,218748.07120528823,wake,baseline-light-period,Segundo
fast_gamma,mpta_wm_ref,1345.7581560614283,wake,baseline-light-period,Segundo
fast_gamma,sr_wm_ref,4094.211374362864,wake,baseline-light-period,Segundo
low_delta,mpta_wm_ref,61923.220590302786,all-SPW-states,baseline-light-period,Segundo
low_delta,sr_wm_ref,125452.6187718686,all-SPW-states,baseline-light-period,Segundo
delta,mpta_wm_ref,169356.74774981485,all-SPW-states,baseline-light-period,Segundo
delta,sr_wm_ref,305375.89835197735,all-SPW-states,baseline-light-period,Segundo
theta,mpta_wm_ref,50662.77408050119,all-SPW-states,baseline-light-period,Segundo
theta,sr_wm_ref,279186.5679596387,all-SPW-states,baseline-light-period,Segundo
fast_gamma,mpta_wm_ref,1226.8288859888003,all-SPW-states,baseline-light-period,Segundo
fast_gamma,sr_wm_ref,5388.913603302664,all-SPW-states,baseline-light-period,Segundo
low_delta,mpta_wm_ref,63789.17437101026,NREM,first2h-recovery-match,Segundo
low_delta,sr_wm_ref,145745.12069725717,NREM,first2h-recovery-match,Segundo
delta,mpta_wm_ref,141305.89687096537,NREM,first2h-recovery-match,Segundo
delta,sr_wm_ref,346050.8966226494,NREM,first2h-recovery-match,Segundo
theta,mpta_wm_ref,54963.04619310686,NREM,first2h-recovery-match,Segundo
theta,sr_wm_ref,309637.6869767536,NREM,first2h-recovery-match,Segundo
fast_gamma,mpta_wm_ref,1236.9343326376977,NREM,first2h-recovery-match,Segundo
fast_gamma,sr_wm_ref,6365.375824353894,NREM,first2h-recovery-match,Segundo
low_delta,mpta_wm_ref,12417.890291975087,wake,first2h-recovery-match,Segundo
low_delta,sr_wm_ref,60891.88330328092,wake,first2h-recovery-match,Segundo
delta,mpta_wm_ref,21740.158810152756,wake,first2h-recovery-match,Segundo
delta,sr_wm_ref,145398.62197271746,wake,first2h-recovery-match,Segundo
theta,mpta_wm_ref,11115.080153485182,wake,first2h-recovery-match,Segundo
theta,sr_wm_ref,209755.32828936412,wake,first2h-recovery-match,Segundo
fast_gamma,mpta_wm_ref,1374.226837235821,wake,first2h-recovery-match,Segundo
fast_gamma,sr_wm_ref,4065.0398049143223,wake,first2h-recovery-match,Segundo
low_delta,mpta_wm_ref,47634.05964590607,all-SPW-states,first2h-recovery-match,Segundo
low_delta,sr_wm_ref,118933.13089324211,all-SPW-states,first2h-recovery-match,Segundo
delta,mpta_wm_ref,104301.84344533959,all-SPW-states,first2h-recovery-match,Segundo
delta,sr_wm_ref,279499.67886956054,all-SPW-states,first2h-recovery-match,Segundo
theta,mpta_wm_ref,40272.935323027916,all-SPW-states,first2h-recovery-match,Segundo
theta,sr_wm_ref,277024.94338367064,all-SPW-states,first2h-recovery-match,Segundo
fast_gamma,mpta_wm_ref,1251.6977724759872,all-SPW-states,first2h-recovery-match,Segundo
fast_gamma,sr_wm_ref,5401.197057848056,all-SPW-states,first2h-recovery-match,Segundo
low_delta,mpta_wm_ref,109766.23807911495,NREM,deprivation,Segundo
low_delta,sr_wm_ref,209042.2705157063,NREM,deprivation,Segundo
delta,mpta_wm_ref,574140.6035850149,NREM,deprivation,Segundo
delta,sr_wm_ref,600989.1631757987,NREM,deprivation,Segundo
theta,mpta_wm_ref,118136.84637819247,NREM,deprivation,Segundo
theta,sr_wm_ref,425824.27626842336,NREM,deprivation,Segundo
fast_gamma,mpta_wm_ref,1443.4711057769207,NREM,deprivation,Segundo
